GEOID,Centroid_X,Centroid_Y,minx,miny,maxx,maxy,MEDIAN_INCOME
15000US420031404001,-79.9120086399,40.4515018231,-79.9153539997,40.4487609997,-79.9081920004,40.4540370002,104583.0
15000US420031404002,-79.914389995,40.4473155036,-79.9183429999,40.4443260002,-79.9101580002,40.4502140002,133646.0
15000US420035623002,-79.929749691,40.4054493839,-79.938022,40.3969029996,-79.9185719997,40.4123600001,15000.0
15000US420035632001,-79.9981176658,40.4495539316,-80.0046929998,40.4456480001,-79.9907909999,40.453819,81406.0
15000US420039822001,-79.954765194,40.444487874,-79.9633810003,40.4413450004,-79.9469030004,40.4484489997,14688.0
15000US420035630001,-80.0847808304,40.4507785696,-80.0955089996,40.4397899997,-80.0686159996,40.4599769998,70673.0
15000US420035620001,-79.9510070369,40.450923966,-79.9533479999,40.4489880003,-79.9487510002,40.4525849998,21983.0
15000US420035624001,-80.0012366413,40.4077286184,-80.010003,40.4015829996,-79.9964859999,40.4140230004,66591.0
15000US420030709004,-79.9436226978,40.452551391,-79.9463900001,40.4504539996,-79.9409480001,40.4545660003,27944.0
15000US420039805001,-79.9421560743,40.4343451396,-79.9498909997,40.4284740004,-79.9322669999,40.441492,
15000US420035619001,-79.8940155642,40.4729084266,-79.8992489998,40.4687489997,-79.8870809999,40.4759200003,24479.0
15000US420032614003,-80.0114592477,40.4679547737,-80.0145779997,40.4636750004,-80.0083340004,40.4710060003,20242.0
15000US420031920002,-80.0253550573,40.4016213903,-80.02812,40.3983099997,-80.0206479999,40.4049150003,45938.0
15000US420031517006,-79.9318637558,40.4254083383,-79.9358270004,40.4227449997,-79.928563,40.4274449997,38829.0
15000US420031414002,-79.9207305607,40.4243850507,-79.9262850002,40.4228550003,-79.9149449997,40.4260160003,99053.0
15000US420035631003,-80.0344833019,40.4270775125,-80.040698,40.4200290003,-80.0280339997,40.4339140003,41346.0
15000US420031920001,-80.0217044716,40.4058571959,-80.0275220003,40.4026340004,-80.0177799998,40.4092050003,24779.0
15000US420030201004,-79.9892106547,40.4406765064,-79.9938990002,40.4385419997,-79.984963,40.4440500001,49611.0
15000US420031414001,-79.9228256945,40.4214399096,-79.926263,40.4178660004,-79.917507,40.4238769997,88346.0
15000US420031018001,-79.933644551,40.4829410033,-79.9402169996,40.4752170003,-79.9292569996,40.4876820004,65991.0
15000US420031920003,-80.0313200051,40.4053130223,-80.0366969999,40.4007849996,-80.0245419996,40.409433,51473.0
15000US420032412002,-79.9915241094,40.4600532411,-79.9954830004,40.4574480001,-79.9873650002,40.4624879996,40865.0
15000US420032503001,-80.0120309548,40.4584887758,-80.0164200001,40.4562339999,-80.0073550002,40.4612170004,45208.0
15000US420032507001,-80.0218631556,40.4599410894,-80.0307760002,40.4551999999,-80.0153480001,40.463783,19306.0
15000US420032509002,-80.0039408495,40.4641564863,-80.0100519996,40.4599850002,-79.9997660001,40.468444,22411.0
15000US420032107002,-80.0264641834,40.45787073,-80.0314899999,40.4546159999,-80.0204030003,40.462125,43409.0
15000US420032901002,-79.9925055964,40.3969163837,-79.9998480003,40.3943169999,-79.9873830001,40.4001530002,34145.0
15000US420032901003,-79.9901617664,40.3936851965,-79.995765,40.3912149999,-79.9863740004,40.3962239997,34647.0
15000US420032902001,-79.9817032752,40.4021310624,-79.9870140002,40.3964680002,-79.9758919999,40.4078400003,38657.0
15000US420032902002,-79.9826479261,40.3927804569,-79.9866060003,40.3873250003,-79.9786480002,40.3982919998,21389.0
15000US420032902003,-79.9842495695,40.3951867727,-79.9876659997,40.3928669996,-79.9802949997,40.3972290002,33375.0
15000US420032902004,-79.9865844086,40.3995328197,-79.9892449997,40.3965789999,-79.9830049997,40.4017849999,31563.0
15000US420033206002,-80.0036537962,40.3926831894,-80.0113100001,40.3881929999,-79.9972199996,40.396853,48793.0
15000US420033207001,-80.0009367658,40.3857359602,-80.0077670003,40.3796990003,-79.99481,40.3929909999,50924.0
15000US420033207002,-79.9993597829,40.3783523616,-80.0067080001,40.3739759999,-79.9928810001,40.3837500001,36006.0
15000US420031411001,-79.904943534,40.4206853154,-79.916414,40.4148960002,-79.8910060001,40.4278880003,58409.0
15000US420030103001,-79.9848132566,40.4343661721,-79.9965720003,40.4322089999,-79.9728069997,40.4368629996,
15000US420030201001,-80.0067260661,40.4396324084,-80.0162900004,40.4345659998,-79.9982130004,40.4440890001,131563.0
15000US420030201002,-80.0042498061,40.4434727794,-80.0090989997,40.4410710003,-79.9998840001,40.446192,34196.0
15000US420034810001,-79.9851540041,40.4158849646,-79.9882339998,40.413938,-79.9817949996,40.4185100004,19808.0
15000US420034810002,-79.9841274602,40.4120501375,-79.9892200003,40.4078400003,-79.9808009997,40.4144399998,33074.0
